pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbeccen,pl_orbincl,pl_radj,pl_radjerr1,pl_radjerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_masse,pl_masseerr1,pl_masseerr2,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,st_spstr,st_plx,gaia_dist,st_pmra,st_pmdec,gaia_pmra,gaia_pmdec,st_radv,st_logg,st_age,st_vsini,pl_ttvflag
HATS-6,b,Transit,3.3252725,2.1e-06,-2.1e-06,0.0,88.21,0.998,0.019,-0.019,11.187,0.213,-0.213,0.319,0.07,-0.07,101.38777,22.2481,-22.2481,88.146797,-19.031656,148.4,15.16,V (Johnson),3724.0,0.57,0.57,M1 V,1e+20,170.14,-2.5,7.3,-2.5,7.3,1e+20,4.68,8.1,1e+20,0
Kepler-26,b,Transit,12.28,0.0003,-0.0003,1e+20,1e+20,0.248,0.01,-0.01,2.78,0.11,-0.11,0.01611,0.00205,-0.00192,5.12,0.65,-0.61,284.940997,46.56654,339.0,15.473,Kepler-band,3914.0,0.54,0.51,M0 V,1e+20,338.55,9.5,-14.0,9.5,-14.0,1e+20,1e+20,1e+20,1.9,1
Kepler-45,b,Transit,2.455239,4e-06,-4e-06,0.11,87.0,0.96,0.11,-0.11,10.76,1.23,-1.23,0.505,0.09,-0.09,160.497,28.604,-28.604,292.8729,41.064261,333.0,16.88,V (Johnson),3820.0,0.59,0.55,M,1e+20,386.04,6.0,-20.0,4.6,-21.6,1e+20,4.7,0.5,1e+20,0
TRAPPIST-1,b,Transit,1.51087081,6e-07,-6e-07,0.081,89.65,0.097,0.003,-0.003,1.086,0.035,-0.035,0.00267,0.00227,-0.00227,0.85,0.72,-0.72,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20,1
TRAPPIST-1,c,Transit,2.4218233,1.7e-06,-1.7e-06,0.083,89.67,0.094,0.003,-0.003,1.056,0.035,-0.035,0.00434,0.00192,-0.00192,1.38,0.61,-0.61,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20,1
TRAPPIST-1,d,Transit,4.04961,6.3e-05,-6.3e-05,0.07,89.75,0.069,0.003,-0.003,0.772,0.03,-0.03,0.00129,0.00085,-0.00085,0.41,0.27,-0.27,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20,1
K2-18,b,Transit,32.93963,0.0001,-0.0001,0.43,89.579,0.212,0.02,-0.02,2.38,0.22,-0.22,0.02504,0.00601,-0.00601,7.96,1.91,-1.91,172.560455,7.588391,34.0,13.496,V (Johnson),3457.0,0.36,0.41,M2.5 V,1e+20,38.07,-80.4,-133.1,-80.4,-133.1,0.65,1e+20,1e+20,1e+20,0
GJ 1214,b,Transit,1.58040456,1.6e-07,-1.6e-07,1e+20,88.17,0.254,0.018,-0.018,2.847,0.202,-0.202,0.0197,0.0027,-0.0027,6.26125,0.85814,-0.85814,258.828837,4.96392,12.95,15.1,V (Johnson),3026.0,0.15,0.22,M4.5,77.2,14.65,590.4,-794.7,580.4,-749.6,-21.1,4.94,1e+20,2.0,0
Kepler-138,d,Transit,23.0881,0.0009,-0.0008,1e+20,1e+20,0.108,0.007,-0.007,1.212,0.075,-0.075,0.00201,0.00212,-0.00122,0.64,0.674,-0.387,290.381547,43.292973,52.4,12.925,Kepler-band,3841.0,0.52,0.44,M1 V,1e+20,66.99,-20.6,22.7,-20.6,22.7,-36.33,4.89,1e+20,1e+20,1
Kepler-138,c,Transit,13.7813,0.0001,-0.0001,1e+20,1e+20,0.107,0.006,-0.006,1.197,0.07,-0.07,0.0062,0.00602,-0.00352,1.97,1.912,-1.12,290.381547,43.292973,52.4,12.925,Kepler-band,3841.0,0.52,0.44,M1 V,1e+20,66.99,-20.6,22.7,-20.6,22.7,-36.33,4.89,1e+20,1e+20,1
GJ 3470,b,Radial Velocity,3.3366487,4.3e-06,-3.3e-06,0.017,88.88,0.346,0.029,-0.029,3.88,0.32,-0.32,0.043,0.005,-0.005,13.73,1.61,-1.61,119.774349,15.391492,25.2,12.33,V (Johnson),3652.0,0.51,0.48,M1.5,1e+20,29.45,-181.6,-48.7,-185.7,-57.3,26.52,4.78,2.5,1e+20,0
Kepler-138,b,Transit,10.3126,0.0004,-0.0006,1e+20,1e+20,0.047,0.003,-0.003,0.522,0.032,-0.032,0.00021,0.00019,-0.00012,0.066,0.059,-0.037,290.381547,43.292973,52.4,12.925,Kepler-band,3841.0,0.52,0.44,M1 V,1e+20,66.99,-20.6,22.7,-20.6,22.7,-36.33,4.89,1e+20,1e+20,1
Kepler-26,c,Transit,17.2559,0.0006,-0.0006,1e+20,1e+20,0.243,0.011,-0.011,2.72,0.12,-0.12,0.01951,0.00205,-0.00205,6.2,0.65,-0.65,284.940997,46.56654,339.0,15.473,Kepler-band,3914.0,0.54,0.51,M0 V,1e+20,338.55,9.5,-14.0,9.5,-14.0,1e+20,1e+20,1e+20,1.9,1
LHS 1140,b,Transit,24.73712,0.00025,-0.00025,0.29,89.912,0.128,0.009,-0.009,1.43,0.1,-0.1,0.02092,0.00573,-0.00573,6.65,1.82,-1.82,11.24724,-15.271532,12.47,14.18,V (Johnson),3131.0,0.15,0.19,M4.5 V,1e+20,14.99,311.9,-581.7,317.6,-596.6,-13.23,1e+20,5.0,1e+20,0
NGTS-1,b,Transit,2.647298,2e-05,-2e-05,0.016,85.27,1.33,0.61,-0.33,14.908,6.837,-3.699,0.812,0.066,-0.075,258.07796,20.97678,-23.83725,82.714378,-36.630787,224.0,15.524,V (Johnson),3916.0,0.62,0.57,M0.5,1e+20,219.5,-32.9,-39.6,-31.9,-41.0,97.18,4.71,1e+20,1.0,0
TRAPPIST-1,e,Transit,6.099615,1.1e-05,-1.1e-05,0.085,89.86,0.082,0.003,-0.003,0.918,0.039,-0.039,0.00195,0.00182,-0.00182,0.62,0.58,-0.58,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20,1
TRAPPIST-1,f,Transit,9.20669,1.5e-05,-1.5e-05,0.063,89.68,0.093,0.003,-0.003,1.045,0.038,-0.038,0.00214,0.00057,-0.00057,0.68,0.18,-0.18,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20,1
TRAPPIST-1,g,Transit,12.35294,0.00012,-0.00012,0.061,89.71,0.101,0.004,-0.004,1.127,0.041,-0.041,0.00422,0.00277,-0.00277,1.34,0.88,-0.88,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20,1
GJ 436,b,Radial Velocity,2.64388312,5.7e-07,-5.7e-07,0.13827,86.44,0.372,0.015,-0.015,4.17,0.168,-0.168,0.07,0.007,-0.007,22.1,2.3,-2.3,175.546219,26.70657,9.76,10.67,V (Johnson),3400.0,0.47,0.46,M2.5 V,102.5,9.76,895.0,-814.0,895.0,-814.0,9.6,4.79,1e+20,0.24,0
GJ 1132,b,Transit,1.628931,2.7e-05,-2.7e-05,0.22,1e+20,1e+20,0.0,0.0,1.43,0.16,0.0,0.00522,0.00072,-0.00072,1.66,0.23,-0.23,153.715737,-47.156727,12.04,13.49,V (Johnson),3270.0,0.18,0.21,M4.5 V,83.07,12.62,-934.3,327.4,-1054.0,414.3,35.08,1e+20,1e+20,2.0,0
