m,m_sigma,r,r_sigma
6.26125,0.85814,2.847,0.202
12.58,1.3,3.88,0.32
5.2,1.2,1.4,0.06
1.17,0.3,1.3230000000000002,0.040999999999999995
159.0,19.0,11.25,0.32
101.0,22.0,11.19,0.21
5.02,0.68,3.1910000000000003,0.09699999999999999
6.12,0.72,2.9760000000000004,0.278
8.63,1.35,2.61,0.087
1.0170000000000001,0.14300000000000002,1.121,0.032
1.156,0.131,1.095,0.031
0.297,0.035,0.784,0.023
5.77,0.18,2.05,0.06
6.98,0.89,1.727,0.032
0.772,0.075,0.91,0.027000000000000003
0.934,0.078,1.046,0.03
1.148,0.095,1.148,0.033
258.07796,20.97678,14.908,6.837
7.49,0.24,2.19,0.07
2.09,0.56,1.193,0.07400000000000001
4.6,0.56,1.39,0.09
1.81,0.39,1.282,0.024
2.42,0.35,1.35,0.07
2.31,0.46,1.57,0.14
1.84,0.31,1.217,0.084
23.1,0.8,4.191,0.109
1.66,0.23,1.43,0.16
0.331,0.049,0.773,0.027000000000000003
26.82,5.13,5.04,0.16
6.6,1.1,2.29,0.23
24.5,5.7,3.44,0.12
2.34,0.24,1.35,0.06
6.29,0.63,2.42,0.1
5.9,0.62,1.694,0.08
