pl_hostname,pl_letter,pl_discmethod,pl_rade,pl_radeerr1,pl_radeerr2,pl_masse,pl_masseerr1,pl_masseerr2,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,st_spstr,st_plx,gaia_dist,st_pmra,st_pmdec,gaia_pmra,gaia_pmdec,st_radv,st_logg,st_age,st_vsini,pl_ttvflag,pl_masselim
HATS-6,b,Transit,11.187,0.213,-0.213,101.38777,22.2481,-22.2481,88.146797,-19.031656,148.4,15.16,V (Johnson),3724.0,0.57,0.57,M1 V,1e+20,170.14,-2.5,7.3,-2.5,7.3,1e+20,4.68,8.1,1e+20,0,0
GJ 1214,b,Transit,2.847,0.202,-0.202,6.26125,0.85814,-0.85814,258.828837,4.96392,12.95,15.1,V (Johnson),3026.0,0.15,0.22,M4.5,77.2,14.65,590.4,-794.7,580.4,-749.6,-21.1,4.94,1e+20,2.0,0,0
K2-18,b,Transit,2.38,0.22,-0.22,7.96,1.91,-1.91,172.560455,7.588391,34.0,13.496,V (Johnson),3457.0,0.36,0.41,M2.5 V,1e+20,38.07,-80.4,-133.1,-80.4,-133.1,0.65,1e+20,1e+20,1e+20,0,0
LHS 1140,b,Transit,1.727,0.032,-0.032,6.98,0.89,-0.89,11.24724,-15.271532,12.47,14.18,V (Johnson),3216.0,0.18,0.21,M4.5 V,1e+20,14.99,311.9,-581.7,317.6,-596.6,-13.23,1e+20,5.0,1e+20,0,0
NGTS-1,b,Transit,14.908,6.837,-3.699,258.07796,20.97678,-23.83725,82.714378,-36.630787,224.0,15.524,V (Johnson),3916.0,0.62,0.57,M0.5,1e+20,219.5,-32.9,-39.6,-31.9,-41.0,97.18,4.71,1e+20,1.0,0,0
LHS 1140,c,Transit,1.282,0.024,-0.024,1.81,0.39,-0.39,11.24724,-15.271532,12.47,14.18,V (Johnson),3216.0,0.18,0.21,M4.5 V,1e+20,14.99,311.9,-581.7,317.6,-596.6,-13.23,1e+20,5.0,1e+20,0,0
GJ 436,b,Radial Velocity,4.191,0.109,-0.109,23.1,0.8,-0.8,175.546219,26.70657,9.76,10.67,V (Johnson),3350.0,0.47,0.46,M2.5 V,102.5,9.76,895.0,-814.0,895.0,-814.0,9.6,4.79,1e+20,0.24,0,0
GJ 1132,b,Transit,1.43,0.16,-0.16,1.66,0.23,-0.23,153.715737,-47.156727,12.04,13.49,V (Johnson),3270.0,0.18,0.21,M4.5 V,83.07,12.62,-934.3,327.4,-1054.0,414.3,35.08,1e+20,1e+20,2.0,0,0
Kepler-32,b,Transit,2.231,0.074,-0.07,9.4,3.6,-3.1,297.842398,46.574281,303.0,16.452,V (Johnson),3900.0,0.58,0.53,M1 V,1e+20,326.85,-8.0,20.0,-13.6,19.6,-32.5,4.64,1e+20,1e+20,1,0
Kepler-32,c,Transit,2.112,0.078,-0.064,7.7,5.0,-3.8,297.842398,46.574281,303.0,16.452,V (Johnson),3900.0,0.58,0.53,M1 V,1e+20,326.85,-8.0,20.0,-13.6,19.6,-32.5,4.64,1e+20,1e+20,1,0
GJ 3470,b,Radial Velocity,4.57,0.18,-0.18,13.9,1.5,-1.5,119.774349,15.391492,25.2,12.33,V (Johnson),3652.0,0.51,0.48,M1.5,1e+20,29.45,-181.6,-48.7,-185.7,-57.3,26.52,4.78,2.5,1e+20,0,0
TRAPPIST-1,b,Transit,1.121,0.032,-0.031,1.017,0.143,-0.154,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20,1,0
TRAPPIST-1,c,Transit,1.095,0.031,-0.03,1.156,0.131,-0.142,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20,1,0
TRAPPIST-1,d,Transit,0.784,0.023,-0.023,0.297,0.035,-0.039,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20,1,0
TRAPPIST-1,e,Transit,0.91,0.027,-0.026,0.772,0.075,-0.079,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20,1,0
TRAPPIST-1,f,Transit,1.046,0.03,-0.029,0.934,0.078,-0.08,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20,1,0
TRAPPIST-1,g,Transit,1.148,0.033,-0.032,1.148,0.095,-0.098,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20,1,0
TRAPPIST-1,h,Transit,0.773,0.027,-0.026,0.331,0.049,-0.056,346.622013,-5.041274,12.1,18.8,V (Johnson),2559.0,0.08,0.12,N/A,1e+20,12.43,930.9,-479.4,930.9,-479.4,1e+20,1e+20,1e+20,1e+20,0,999999
Kepler-45,b,Transit,11.634,0.369,-0.355,159.0,19.0,-19.0,292.8729,41.064261,333.0,16.88,V (Johnson),3820.0,0.59,0.55,M,1e+20,386.04,6.0,-20.0,4.6,-21.6,1e+20,4.7,0.5,1e+20,0,0
Kepler-138,b,Transit,0.629,0.03,-0.025,0.066,0.059,-0.037,290.381547,43.292973,52.4,12.925,Kepler-band,3841.0,0.52,0.44,M1 V,1e+20,66.99,-20.6,22.7,-20.6,22.7,-36.33,4.89,1e+20,1e+20,1,0
Kepler-138,c,Transit,1.519,0.136,-0.059,1.97,1.912,-1.12,290.381547,43.292973,52.4,12.925,Kepler-band,3841.0,0.52,0.44,M1 V,1e+20,66.99,-20.6,22.7,-20.6,22.7,-36.33,4.89,1e+20,1e+20,1,0
Kepler-138,d,Transit,1.323,0.041,-0.045,0.64,0.674,-0.387,290.381547,43.292973,52.4,12.925,Kepler-band,3841.0,0.52,0.44,M1 V,1e+20,66.99,-20.6,22.7,-20.6,22.7,-36.33,4.89,1e+20,1e+20,1,0
Kepler-26,b,Transit,3.191,0.097,-0.093,5.02,0.68,-0.64,284.940997,46.56654,339.0,15.473,Kepler-band,3914.0,0.54,0.51,M0 V,1e+20,338.55,9.5,-14.0,9.5,-14.0,1e+20,1e+20,1e+20,1.9,1,0
Kepler-26,c,Transit,2.976,0.278,-0.228,6.12,0.72,-0.7,284.940997,46.56654,339.0,15.473,Kepler-band,3914.0,0.54,0.51,M0 V,1e+20,338.55,9.5,-14.0,9.5,-14.0,1e+20,1e+20,1e+20,1.9,1,0
